location_id,city,area,location_name,latitude,longitude,location_type
LOC0001,Chennai,Transport Nagar,Transport Nagar Railway Station,27.50494,74.387071,transport
LOC0002,Ahmedabad,Phase 5 Industrial Estate,Phase 5 Industrial Estate Bus Terminal,26.129955,76.666269,transport
LOC0003,Ludhiana,Sector 29,Sector 29 Storage Yard,23.811387,81.380271,warehouse
LOC0004,Mumbai,Phase 7 Industrial Estate,Phase 7 Industrial Estate Public Ground,24.438417,73.023849,public
LOC0005,Amritsar,New Township Sector 50,New Township Sector 50 Logistics Warehouse,22.509142,83.094452,warehouse
LOC0006,Ludhiana,Commercial Block C,Commercial Block C Bus Terminal,21.016607,80.218799,transport
LOC0007,Chandigarh,Commercial Block D,Commercial Block D Business Tower,28.676297,81.970373,office
LOC0008,Jaipur,Civil Lines,Civil Lines Market,23.352385,80.04748,commercial
LOC0009,Chandigarh,Housing Board Colony,Housing Board Colony Public Ground,23.476343,85.832773,public
LOC0010,Lucknow,Housing Board Colony,Housing Board Colony Industrial Estate,23.002994,84.715888,industrial
LOC0011,Bengaluru,Model Town Block D,Model Town Block D Public Ground,26.809181,81.177537,public
LOC0012,Kolkata,Transport Nagar,Transport Nagar Housing Complex,22.979466,78.210365,residential
LOC0013,Chennai,Housing Board Colony,Housing Board Colony Multi-level Parking,27.512382,79.886325,parking
LOC0014,Delhi,Housing Board Colony,Housing Board Colony Dhaba,28.541407,84.005198,restaurant
LOC0015,Surat,Railway Colony,Railway Colony Community Park,22.361249,74.622317,public
LOC0016,Bhopal,New Township Sector 53,New Township Sector 53 Dhaba,25.13049,77.609914,restaurant
LOC0017,Surat,Phase 8 Industrial Estate,Phase 8 Industrial Estate Trade Centre,21.23124,81.022333,commercial
LOC0018,Hyderabad,Phase 27 Industrial Estate,Phase 27 Industrial Estate Multi-level Parking,23.106056,72.051589,parking
LOC0019,Faridabad,Model Town Block D,Hotel Model Town Block D Regency,26.436461,84.400983,hotel
LOC0020,Chandigarh,New Township Sector 22,New Township Sector 22 Public Parking,20.865953,75.55044,parking
LOC0021,Mumbai,Phase 59 Industrial Estate,Phase 59 Industrial Estate Bus Terminal,20.911648,82.286289,transport
LOC0022,Ludhiana,New Township Sector 32,New Township Sector 32 Trade Centre,24.755743,83.207715,commercial
LOC0023,Gurugram,Model Town Block A,Model Town Block A Dhaba,27.128743,79.859659,restaurant
LOC0024,Ludhiana,Old City Market,Old City Market Commercial Complex,26.025076,83.86809,commercial
LOC0025,Kanpur,Phase 45 Industrial Estate,Phase 45 Industrial Estate Dhaba,29.326806,73.13714,restaurant
LOC0026,Hyderabad,Transport Nagar,Transport Nagar Trade Centre,24.269242,81.224129,commercial
LOC0027,Indore,Civil Lines,Civil Lines Logistics Warehouse,22.530586,80.332776,warehouse
LOC0028,Kanpur,New Township Sector 19,New Township Sector 19 Multi-level Parking,22.079316,85.985952,parking
LOC0029,Kolkata,New Township Sector 11,New Township Sector 11 Public Ground,29.526729,76.66938,public
