organization_id,organization_name,organization_type,city,address
ORG0001,Aggarwal Group Transport Services,transport,Dehradun,"332, Phase 57 Industrial Estate, Dehradun"
ORG0002,Mishra Group Constructions Pvt Ltd,construction,Ludhiana,"281, New Township Sector 49, Ludhiana"
ORG0003,Iyer Consulting Services,consulting,Delhi,"57, Commercial Block A, Delhi"
ORG0004,Rawat Group Finance Services,finance,Delhi,"252, Old City Market, Delhi"
ORG0005,Grover & Sons Manufacturing Ltd,manufacturing,Haridwar,"193, Housing Board Colony, Haridwar"
ORG0006,Joshi Group Retail Stores,retail,Faridabad,"150, Commercial Block B, Faridabad"
ORG0007,Bhalla Group Manufacturing Ltd,manufacturing,Delhi,"189, Old City Market, Delhi"
ORG0008,Kohli Group Transport Services,transport,Amritsar,"284, New Township Sector 56, Amritsar"
ORG0009,Mishra Group Technologies Pvt Ltd,technology,Ahmedabad,"252, Railway Colony, Ahmedabad"
ORG0010,Grover & Sons Technologies Pvt Ltd,technology,Indore,"263, Housing Board Colony, Indore"
ORG0011,Bhatia Consulting Services,consulting,Patna,"361, Housing Board Colony, Patna"
ORG0012,Bhatia & Sons Technologies Pvt Ltd,technology,Pune,"118, Phase 41 Industrial Estate, Pune"
ORG0013,Grover Group Finance Services,finance,Chennai,"129, Housing Board Colony, Chennai"
ORG0014,Reddy Group Constructions Pvt Ltd,construction,Ranchi,"358, New Township Sector 52, Ranchi"
ORG0015,Chawla & Sons Technologies Pvt Ltd,technology,Chandigarh,"5, Sector 10, Chandigarh"
ORG0016,Arora Constructions Pvt Ltd,construction,Pune,"134, New Township Sector 30, Pune"
ORG0017,Choudhary Technologies Pvt Ltd,technology,Surat,"149, Old City Market, Surat"
ORG0018,Saxena Group Finance Services,finance,Chennai,"133, New Township Sector 60, Chennai"
ORG0019,Tiwari & Sons Technologies Pvt Ltd,technology,Bhubaneswar,"33, Commercial Block D, Bhubaneswar"
ORG0020,Khanna Group Retail Stores,retail,Noida,"211, Model Town Block A, Noida"
ORG0021,Chopra Group Transport Services,transport,Delhi,"280, Phase 40 Industrial Estate, Delhi"
ORG0022,Iyer Consulting Services,consulting,Noida,"385, Housing Board Colony, Noida"
ORG0023,Gupta Group Trading Co,trading,Delhi,"299, Transport Nagar, Delhi"
ORG0024,Sethi & Sons Trading Co,trading,Surat,"302, Model Town Block C, Surat"
ORG0025,Choudhary Transport Services,transport,Ludhiana,"70, Transport Nagar, Ludhiana"
ORG0026,Bhatia Group Technologies Pvt Ltd,technology,Ranchi,"101, Railway Colony, Ranchi"
ORG0027,Malhotra & Sons Technologies Pvt Ltd,technology,Faridabad,"331, Old City Market, Faridabad"
ORG0028,Bansal & Sons Logistics Pvt Ltd,logistics,Ahmedabad,"350, Commercial Block C, Ahmedabad"
ORG0029,Chopra Group Transport Services,transport,Pune,"317, Model Town Block B, Pune"
ORG0030,Gupta & Sons Technologies Pvt Ltd,technology,Bhopal,"307, Civil Lines, Bhopal"
ORG0031,Malhotra Constructions Pvt Ltd,construction,Amritsar,"332, Model Town Block A, Amritsar"
ORG0032,Reddy Finance Services,finance,Patna,"248, Sector 9, Patna"
ORG0033,Kapoor Group Constructions Pvt Ltd,construction,Ghaziabad,"96, Railway Colony, Ghaziabad"
ORG0034,Bhalla Constructions Pvt Ltd,construction,Ludhiana,"197, Commercial Block C, Ludhiana"
ORG0035,Chopra & Sons Trading Co,trading,Kanpur,"400, Railway Colony, Kanpur"
ORG0036,Aggarwal & Sons Trading Co,trading,Dehradun,"228, Phase 34 Industrial Estate, Dehradun"
ORG0037,Sethi Transport Services,transport,Chandigarh,"48, New Township Sector 42, Chandigarh"
ORG0038,Mishra Group Technologies Pvt Ltd,technology,Surat,"94, Sector 23, Surat"
ORG0039,Choudhary Group Retail Stores,retail,Surat,"276, Civil Lines, Surat"
ORG0040,Nair Group Constructions Pvt Ltd,construction,Patna,"110, Transport Nagar, Patna"
ORG0041,Verma & Sons Constructions Pvt Ltd,construction,Ghaziabad,"50, Railway Colony, Ghaziabad"
ORG0042,Arora Group Logistics Pvt Ltd,logistics,Patna,"95, Phase 33 Industrial Estate, Patna"
ORG0043,Rawat Manufacturing Ltd,manufacturing,Indore,"150, Old City Market, Indore"
ORG0044,Mehta & Sons Manufacturing Ltd,manufacturing,Faridabad,"398, Commercial Block A, Faridabad"
ORG0045,Sethi Logistics Pvt Ltd,logistics,Noida,"159, Phase 7 Industrial Estate, Noida"
ORG0046,Chopra Group Retail Stores,retail,Patna,"321, Transport Nagar, Patna"
ORG0047,Khanna Group Retail Stores,retail,Bhopal,"237, Railway Colony, Bhopal"
ORG0048,Choudhary & Sons Retail Stores,retail,Ahmedabad,"200, Commercial Block C, Ahmedabad"
ORG0049,Saxena & Sons Logistics Pvt Ltd,logistics,Kolkata,"13, Commercial Block C, Kolkata"
ORG0050,Pandey Manufacturing Ltd,manufacturing,Kolkata,"153, Railway Colony, Kolkata"
ORG0051,Khanna Group Constructions Pvt Ltd,construction,Dehradun,"29, Phase 11 Industrial Estate, Dehradun"
ORG0052,Bhatia Group Transport Services,transport,Gurugram,"182, Transport Nagar, Gurugram"
ORG0053,Nair Logistics Pvt Ltd,logistics,Ludhiana,"183, Railway Colony, Ludhiana"
ORG0054,Rathore Group Consulting Services,consulting,Patna,"113, Model Town Block A, Patna"
ORG0055,Joshi & Sons Constructions Pvt Ltd,construction,Bengaluru,"131, Model Town Block A, Bengaluru"
ORG0056,Joshi & Sons Logistics Pvt Ltd,logistics,Kanpur,"214, Commercial Block B, Kanpur"
ORG0057,Kapoor Group Transport Services,transport,Bhubaneswar,"20, Housing Board Colony, Bhubaneswar"
ORG0058,Aggarwal Group Retail Stores,retail,Hyderabad,"163, Sector 43, Hyderabad"
ORG0059,Malhotra Consulting Services,consulting,Pune,"348, Housing Board Colony, Pune"
ORG0060,Arora Technologies Pvt Ltd,technology,Chennai,"288, Commercial Block B, Chennai"
ORG0061,Chopra Group Retail Stores,retail,Haridwar,"235, Housing Board Colony, Haridwar"
ORG0062,Kapoor Group Manufacturing Ltd,manufacturing,Chandigarh,"211, Model Town Block A, Chandigarh"
ORG0063,Rawat Group Retail Stores,retail,Bhubaneswar,"360, Railway Colony, Bhubaneswar"
ORG0064,Chawla & Sons Trading Co,trading,Faridabad,"280, Commercial Block A, Faridabad"
ORG0065,Khanna Group Logistics Pvt Ltd,logistics,Surat,"299, Commercial Block A, Surat"
ORG0066,Joshi Group Technologies Pvt Ltd,technology,Amritsar,"330, Model Town Block A, Amritsar"
ORG0067,Tiwari & Sons Transport Services,transport,Ghaziabad,"171, Housing Board Colony, Ghaziabad"
ORG0068,Nair Group Logistics Pvt Ltd,logistics,Kolkata,"98, Model Town Block C, Kolkata"
ORG0069,Chawla & Sons Manufacturing Ltd,manufacturing,Surat,"69, Railway Colony, Surat"
ORG0070,Arora Group Finance Services,finance,Ludhiana,"88, Housing Board Colony, Ludhiana"
ORG0071,Bhatia Retail Stores,retail,Surat,"15, Phase 33 Industrial Estate, Surat"
ORG0072,Arora & Sons Retail Stores,retail,Faridabad,"111, Housing Board Colony, Faridabad"
ORG0073,Gupta & Sons Trading Co,trading,Noida,"55, Phase 25 Industrial Estate, Noida"
ORG0074,Verma & Sons Manufacturing Ltd,manufacturing,Hyderabad,"243, New Township Sector 8, Hyderabad"
ORG0075,Rawat & Sons Retail Stores,retail,Bengaluru,"300, Old City Market, Bengaluru"
ORG0076,Bansal & Sons Transport Services,transport,Ranchi,"136, Civil Lines, Ranchi"
ORG0077,Joshi & Sons Technologies Pvt Ltd,technology,Ahmedabad,"166, New Township Sector 26, Ahmedabad"
ORG0078,Mishra & Sons Trading Co,trading,Chandigarh,"113, Old City Market, Chandigarh"
ORG0079,Mishra Group Technologies Pvt Ltd,technology,Bhubaneswar,"196, Civil Lines, Bhubaneswar"
ORG0080,Yadav & Sons Trading Co,trading,Ludhiana,"61, Old City Market, Ludhiana"
ORG0081,Joshi Group Manufacturing Ltd,manufacturing,Ghaziabad,"138, Civil Lines, Ghaziabad"
ORG0082,Verma & Sons Constructions Pvt Ltd,construction,Patna,"151, Transport Nagar, Patna"
ORG0083,Joshi Group Technologies Pvt Ltd,technology,Delhi,"169, Railway Colony, Delhi"
ORG0084,Bhalla Group Finance Services,finance,Bengaluru,"342, Housing Board Colony, Bengaluru"
ORG0085,Reddy & Sons Technologies Pvt Ltd,technology,Haridwar,"31, Railway Colony, Haridwar"
ORG0086,Joshi Group Logistics Pvt Ltd,logistics,Kanpur,"130, Model Town Block D, Kanpur"
ORG0087,Gupta Finance Services,finance,Pune,"20, Civil Lines, Pune"
ORG0088,Mehta Manufacturing Ltd,manufacturing,Dehradun,"235, Housing Board Colony, Dehradun"
ORG0089,Saxena Transport Services,transport,Surat,"276, Sector 7, Surat"
ORG0090,Chopra Retail Stores,retail,Lucknow,"311, Model Town Block C, Lucknow"
