fir_id,case_id,victim_gender,is_women_safety_case,location_id,area,city
FIR0001,CASE001,M,N,LOC0233,New Township Sector 20,Dehradun
FIR0002,CASE002,M,N,LOC0038,Sector 19,Hyderabad
FIR0003,CASE003,M,N,LOC0240,Commercial Block A,Patna
FIR0004,CASE004,F,N,LOC0220,Railway Colony,Gurugram
FIR0005,CASE005,F,Y,LOC0019,Model Town Block D,Faridabad
FIR0006,CASE006,F,N,LOC0261,Civil Lines,Bhubaneswar
FIR0007,CASE007,F,N,LOC0292,Phase 29 Industrial Estate,Noida
FIR0008,CASE008,F,N,LOC0134,New Township Sector 58,Noida
FIR0009,CASE009,F,N,LOC0249,Housing Board Colony,Bengaluru
FIR0010,CASE010,M,N,LOC0067,Commercial Block D,Lucknow
FIR0011,CASE011,M,N,LOC0195,Model Town Block A,Bhopal
FIR0012,CASE012,M,N,LOC0028,New Township Sector 19,Kanpur
FIR0013,CASE013,F,N,LOC0219,New Township Sector 22,Lucknow
FIR0014,CASE014,M,N,LOC0189,Commercial Block B,Chandigarh
FIR0015,CASE015,F,N,LOC0292,Phase 29 Industrial Estate,Noida
FIR0016,CASE016,M,N,LOC0093,Railway Colony,Kolkata
FIR0017,CASE017,F,N,LOC0023,Model Town Block A,Gurugram
FIR0018,CASE018,M,N,LOC0007,Commercial Block D,Chandigarh
FIR0019,CASE019,F,N,LOC0122,Transport Nagar,Noida
FIR0020,CASE020,F,N,LOC0046,Sector 24,Amritsar
FIR0021,CASE021,M,N,LOC0090,Phase 26 Industrial Estate,Lucknow
FIR0022,CASE022,M,N,LOC0015,Railway Colony,Surat
FIR0023,CASE023,F,N,LOC0152,Sector 55,Agra
FIR0024,CASE024,M,N,LOC0188,Commercial Block B,Patna
FIR0025,CASE025,M,N,LOC0118,Sector 18,Amritsar
FIR0026,CASE026,F,N,LOC0191,Commercial Block C,Ranchi
FIR0027,CASE027,M,N,LOC0204,Transport Nagar,Haridwar
FIR0028,CASE028,F,N,LOC0088,Phase 59 Industrial Estate,Bhopal
FIR0029,CASE029,M,N,LOC0224,Housing Board Colony,Jaipur
FIR0030,CASE030,M,N,LOC0280,Transport Nagar,Kanpur
FIR0031,CASE031,F,N,LOC0226,Railway Colony,Agra
FIR0032,CASE032,F,N,LOC0260,New Township Sector 54,Bhubaneswar
FIR0033,CASE033,F,N,LOC0176,Old City Market,Pune
FIR0034,CASE034,F,Y,LOC0214,New Township Sector 11,Chennai
FIR0035,CASE035,F,N,LOC0117,Transport Nagar,Faridabad
FIR0036,CASE036,F,N,LOC0033,Railway Colony,Patna
FIR0037,CASE037,F,N,LOC0122,Transport Nagar,Noida
FIR0038,CASE038,M,N,LOC0078,New Township Sector 29,Ahmedabad
FIR0039,CASE039,F,N,LOC0056,Housing Board Colony,Kanpur
FIR0040,CASE040,F,N,LOC0110,Model Town Block C,Noida
FIR0041,CASE041,M,N,LOC0255,Housing Board Colony,Agra
FIR0042,CASE042,M,N,LOC0099,Railway Colony,Dehradun
FIR0043,CASE043,M,N,LOC0223,Civil Lines,Agra
FIR0044,CASE044,M,N,LOC0151,Transport Nagar,Haridwar
FIR0045,CASE045,M,N,LOC0144,Railway Colony,Patna
FIR0046,CASE046,M,N,LOC0057,Transport Nagar,Gurugram
FIR0047,CASE047,,N,LOC0021,Phase 59 Industrial Estate,Mumbai
FIR0048,CASE048,M,N,LOC0275,Sector 39,Dehradun
FIR0049,CASE049,F,Y,LOC0113,Model Town Block B,Ghaziabad
