location_id:ID(Location),location_name
LOC0001,Transport Nagar Railway Station
LOC0002,Phase 5 Industrial Estate Bus Terminal
LOC0003,Sector 29 Storage Yard
LOC0004,Phase 7 Industrial Estate Public Ground
LOC0005,New Township Sector 50 Logistics Warehouse
LOC0006,Commercial Block C Bus Terminal
LOC0007,Commercial Block D Business Tower
LOC0008,Civil Lines Market
LOC0009,Housing Board Colony Public Ground
LOC0010,Housing Board Colony Industrial Estate
LOC0011,Model Town Block D Public Ground
LOC0012,Transport Nagar Housing Complex
LOC0013,Housing Board Colony Multi-level Parking
LOC0014,Housing Board Colony Dhaba
LOC0015,Railway Colony Community Park
LOC0016,New Township Sector 53 Dhaba
LOC0017,Phase 8 Industrial Estate Trade Centre
LOC0018,Phase 27 Industrial Estate Multi-level Parking
LOC0019,Hotel Model Town Block D Regency
LOC0020,New Township Sector 22 Public Parking
LOC0021,Phase 59 Industrial Estate Bus Terminal
LOC0022,New Township Sector 32 Trade Centre
LOC0023,Model Town Block A Dhaba
LOC0024,Old City Market Commercial Complex
LOC0025,Phase 45 Industrial Estate Dhaba
LOC0026,Transport Nagar Trade Centre
LOC0027,Civil Lines Logistics Warehouse
LOC0028,New Township Sector 19 Multi-level Parking
LOC0029,New Township Sector 11 Public Ground
LOC0030,Sector 59 Corporate Plaza
LOC0031,Old City Market Market
LOC0032,Railway Colony Inn
LOC0033,Railway Colony Inn
LOC0034,Sector 39 Railway Station
LOC0035,Old City Market Trade Centre
LOC0036,Sector 14 Storage Yard
LOC0037,Hotel Transport Nagar Regency
LOC0038,Sector 19 Community Park
LOC0039,Phase 51 Industrial Estate Market
LOC0040,New Township Sector 54 Warehouse Zone
LOC0041,Civil Lines Railway Station
LOC0042,Transport Nagar Industrial Estate
LOC0043,New Township Sector 41 Bus Terminal
LOC0044,Railway Colony Warehouse Zone
LOC0045,Commercial Block A Industrial Estate
LOC0046,Sector 24 Trade Centre
LOC0047,Commercial Block A Market
LOC0048,Hotel Model Town Block B Regency
LOC0049,Transport Nagar Logistics Warehouse
LOC0050,Phase 59 Industrial Estate Railway Station
LOC0051,Old City Market Multi-level Parking
LOC0052,Commercial Block D Industrial Estate
LOC0053,Phase 31 Industrial Estate Dhaba
LOC0054,Phase 19 Industrial Estate Residency
LOC0055,Sector 21 Residency
LOC0056,Housing Board Colony Railway Station
LOC0057,Transport Nagar Inn
LOC0058,Old City Market Inn
LOC0059,Sector 28 Market
LOC0060,New Township Sector 26 Warehouse Zone
LOC0061,Civil Lines Dhaba
LOC0062,Phase 3 Industrial Estate Apartments
LOC0063,Civil Lines Industrial Estate
LOC0064,Housing Board Colony Family Restaurant
LOC0065,Housing Board Colony Public Ground
LOC0066,Housing Board Colony Inn
LOC0067,Commercial Block D Corporate Plaza
LOC0068,Phase 41 Industrial Estate Logistics Warehouse
LOC0069,Railway Colony Market
LOC0070,Phase 46 Industrial Estate Storage Yard
LOC0071,Hotel Civil Lines Regency
LOC0072,New Township Sector 18 Storage Yard
LOC0073,Railway Colony Logistics Warehouse
LOC0074,Sector 48 Public Parking
LOC0075,Old City Market Residency
LOC0076,Phase 29 Industrial Estate Community Park
LOC0077,Civil Lines Corporate Plaza
LOC0078,New Township Sector 29 Multi-level Parking
LOC0079,Commercial Block B Trade Centre
LOC0080,Housing Board Colony Business Tower
LOC0081,Sector 20 Apartments
LOC0082,New Township Sector 7 Dhaba
LOC0083,Model Town Block D Commercial Complex
LOC0084,New Township Sector 31 Public Ground
LOC0085,Transport Nagar Community Park
LOC0086,Sector 54 Railway Station
LOC0087,Old City Market Commercial Complex
LOC0088,Phase 59 Industrial Estate Public Ground
LOC0089,Hotel Old City Market Regency
LOC0090,Phase 26 Industrial Estate Inn
LOC0091,Transport Nagar Inn
LOC0092,New Township Sector 58 Trade Centre
LOC0093,Railway Colony Family Restaurant
LOC0094,Sector 34 Warehouse Zone
LOC0095,Model Town Block B Storage Yard
LOC0096,Old City Market Community Park
LOC0097,Transport Nagar Public Parking
LOC0098,Sector 53 Public Parking
LOC0099,Railway Colony Warehouse Zone
LOC0100,Housing Board Colony Railway Station
LOC0101,Phase 45 Industrial Estate Industrial Estate
LOC0102,Sector 30 Family Restaurant
LOC0103,Railway Colony Community Park
LOC0104,Old City Market Family Restaurant
LOC0105,Phase 4 Industrial Estate Inn
LOC0106,New Township Sector 5 Commercial Complex
LOC0107,Old City Market Corporate Plaza
LOC0108,Housing Board Colony Dhaba
LOC0109,Civil Lines Residency
LOC0110,Hotel Model Town Block C Regency
LOC0111,Commercial Block A Community Park
LOC0112,Civil Lines Industrial Estate
LOC0113,Model Town Block B Commercial Complex
LOC0114,Civil Lines Dhaba
LOC0115,Commercial Block B Inn
LOC0116,Model Town Block B Logistics Warehouse
LOC0117,Transport Nagar Warehouse Zone
LOC0118,Sector 18 Family Restaurant
LOC0119,Old City Market Apartments
LOC0120,Transport Nagar Apartments
LOC0121,Housing Board Colony Corporate Plaza
LOC0122,Transport Nagar Apartments
LOC0123,Sector 57 Logistics Warehouse
LOC0124,Model Town Block D Corporate Plaza
LOC0125,Railway Colony Inn
LOC0126,New Township Sector 36 Residency
LOC0127,Model Town Block B Family Restaurant
LOC0128,Transport Nagar Dhaba
LOC0129,Housing Board Colony Public Ground
LOC0130,Model Town Block A Multi-level Parking
LOC0131,Transport Nagar Dhaba
LOC0132,Railway Colony Apartments
LOC0133,Commercial Block D Railway Station
LOC0134,New Township Sector 58 Dhaba
LOC0135,Civil Lines Inn
LOC0136,New Township Sector 9 Family Restaurant
LOC0137,Civil Lines Residency
LOC0138,Railway Colony Public Parking
LOC0139,Phase 12 Industrial Estate Corporate Plaza
LOC0140,Transport Nagar Industrial Estate
LOC0141,Old City Market Dhaba
LOC0142,Old City Market Storage Yard
LOC0143,Hotel Sector 55 Regency
LOC0144,Railway Colony Logistics Warehouse
LOC0145,Sector 30 Housing Complex
LOC0146,Phase 1 Industrial Estate Public Parking
LOC0147,Hotel Railway Colony Regency
LOC0148,Phase 39 Industrial Estate Multi-level Parking
LOC0149,Phase 37 Industrial Estate Housing Complex
LOC0150,Railway Colony Storage Yard
LOC0151,Transport Nagar Business Tower
LOC0152,Sector 55 Community Park
LOC0153,Commercial Block C Residency
LOC0154,New Township Sector 41 Business Tower
LOC0155,Transport Nagar Railway Station
LOC0156,Commercial Block C Warehouse Zone
LOC0157,Commercial Block A Public Ground
LOC0158,Model Town Block C Family Restaurant
LOC0159,Phase 34 Industrial Estate Family Restaurant
LOC0160,Civil Lines Trade Centre
LOC0161,Railway Colony Industrial Estate
LOC0162,New Township Sector 40 Trade Centre
LOC0163,New Township Sector 29 Bus Terminal
LOC0164,Transport Nagar Dhaba
LOC0165,Housing Board Colony Commercial Complex
